tableName,fieldName,type,isRequired,primaryKey,emptyIsNa
database,vocabularyVersion,VARCHAR(255),Yes,No,Yes
database,minObsPeriodDate,DATE,Yes,No,Yes
database,maxObsPeriodDate,DATE,Yes,No,Yes
database,studyPackageVersion,VARCHAR(10),Yes,No,Yes
database,is_meta_analysis,INTEGER,Yes,No,Yes
exposure_of_interest,exposure_id,INTEGER,Yes,Yes,Yes
exposure_of_interest,exposure_name,VARCHAR(255),Yes,No,Yes
exposure_of_interest,definition,TEXT,No,No,Yes
exposure_summary,exposure_id,INTEGER,Yes,Yes,Yes
exposure_summary,min_date,INTEGER,Yes,No,Yes
exposure_summary,max_date,INTEGER,Yes,No,Yes
exposure_summary,database_id,VARCHAR(255),Yes,Yes,Yes
kaplan_meier_dist,time,NUMERIC,Yes,Yes,Yes
kaplan_meier_dist,target_survival,NUMERIC,No,No,Yes
kaplan_meier_dist,target_survival_lb,NUMERIC,No,No,Yes
kaplan_meier_dist,target_survival_ub,NUMERIC,No,No,Yes
kaplan_meier_dist,comparator_survival,NUMERIC,No,No,Yes
kaplan_meier_dist,comparator_survival_lb,NUMERIC,No,No,Yes
kaplan_meier_dist,comparator_survival_ub,NUMERIC,No,No,Yes
kaplan_meier_dist,target_at_risk,INTEGER,No,No,Yes
kaplan_meier_dist,comparator_at_risk,INTEGER,No,No,Yes
kaplan_meier_dist,target_id,INTEGER,Yes,Yes,Yes
kaplan_meier_dist,comparator_id,INTEGER,Yes,Yes,Yes
kaplan_meier_dist,outcome_id,INTEGER,Yes,Yes,Yes
kaplan_meier_dist,analysis_id,INTEGER,Yes,Yes,Yes
kaplan_meier_dist,database_id,VARCHAR(255),Yes,Yes,Yes
likelihood_profile,x_min2_302585,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_297975,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_293366,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_288756,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_284146,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_279536,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_274926,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_270317,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_265707,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_261097,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_256487,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_251878,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_247268,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_242658,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_238048,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_233438,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_228829,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_224219,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_219609,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_214999,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_210389,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_205780,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_201170,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_196560,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_191950,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_187341,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_182731,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_178121,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_173511,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_168901,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_164292,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_159682,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_155072,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_150462,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_145853,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_141243,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_136633,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_132023,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_127413,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_122804,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_118194,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_113584,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_108974,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_104365,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_099755,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_095145,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_090535,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_085925,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_081316,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_076706,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_072096,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_067486,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_062877,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_058267,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_053657,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_049047,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_044437,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_039828,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_035218,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_030608,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_025998,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_021389,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_016779,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_012169,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_007559,NUMERIC,Yes,No,Yes
likelihood_profile,x_min2_002949,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_998340,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_993730,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_989120,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_984510,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_979900,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_975291,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_970681,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_966071,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_961461,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_956852,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_952242,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_947632,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_943022,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_938412,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_933803,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_929193,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_924583,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_919973,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_915364,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_910754,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_906144,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_901534,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_896924,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_892315,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_887705,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_883095,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_878485,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_873876,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_869266,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_864656,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_860046,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_855436,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_850827,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_846217,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_841607,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_836997,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_832388,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_827778,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_823168,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_818558,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_813948,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_809339,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_804729,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_800119,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_795509,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_790900,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_786290,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_781680,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_777070,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_772460,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_767851,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_763241,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_758631,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_754021,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_749411,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_744802,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_740192,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_735582,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_730972,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_726363,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_721753,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_717143,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_712533,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_707923,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_703314,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_698704,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_694094,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_689484,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_684875,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_680265,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_675655,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_671045,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_666435,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_661826,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_657216,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_652606,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_647996,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_643387,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_638777,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_634167,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_629557,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_624947,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_620338,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_615728,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_611118,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_606508,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_601899,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_597289,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_592679,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_588069,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_583459,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_578850,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_574240,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_569630,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_565020,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_560411,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_555801,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_551191,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_546581,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_541971,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_537362,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_532752,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_528142,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_523532,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_518922,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_514313,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_509703,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_505093,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_500483,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_495874,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_491264,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_486654,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_482044,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_477434,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_472825,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_468215,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_463605,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_458995,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_454386,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_449776,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_445166,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_440556,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_435946,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_431337,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_426727,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_422117,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_417507,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_412898,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_408288,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_403678,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_399068,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_394458,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_389849,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_385239,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_380629,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_376019,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_371410,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_366800,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_362190,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_357580,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_352970,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_348361,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_343751,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_339141,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_334531,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_329922,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_325312,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_320702,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_316092,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_311482,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_306873,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_302263,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_297653,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_293043,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_288434,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_283824,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_279214,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_274604,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_269994,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_265385,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_260775,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_256165,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_251555,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_246945,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_242336,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_237726,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_233116,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_228506,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_223897,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_219287,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_214677,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_210067,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_205457,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_200848,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_196238,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_191628,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_187018,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_182409,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_177799,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_173189,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_168579,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_163969,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_159360,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_154750,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_150140,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_145530,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_140921,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_136311,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_131701,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_127091,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_122481,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_117872,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_113262,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_108652,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_104042,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_099433,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_094823,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_090213,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_085603,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_080993,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_076384,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_071774,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_067164,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_062554,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_057945,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_053335,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_048725,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_044115,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_039505,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_034896,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_030286,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_025676,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_021066,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_016456,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_011847,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_007237,NUMERIC,Yes,No,Yes
likelihood_profile,x_min1_002627,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_998017,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_993408,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_988798,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_984188,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_979578,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_974968,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_970359,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_965749,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_961139,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_956529,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_951920,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_947310,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_942700,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_938090,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_933480,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_928871,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_924261,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_919651,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_915041,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_910432,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_905822,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_901212,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_896602,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_891992,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_887383,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_882773,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_878163,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_873553,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_868944,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_864334,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_859724,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_855114,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_850504,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_845895,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_841285,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_836675,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_832065,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_827456,NUMERIC,Yes,No,Yes
likelihood_profile,x_min0_822846,NUMERIC,Yes,No,Yes
